"PMID","PMCID","DOI","Publisher","Owned by","ISSN","Journal Impact Factor","Journal title","Hybrid or Pure OA?","Article title","Citations Google Scholar","Altmetric score","CC licence type","Is article Open Access?","Cost","Contributor","Notes"
23900546,"PMC3731578",,"Wiley-Blackwell",,"1365-182X",,"HPB",,"An experimental study to identify the potential role of pharmacogenomics in determining the occurrence of oxaliplatin-induced liver injury",,,,,"2,311.56",,
23376730,,,"Springer",,"1523-3804",,"Current Atherosclerosis Reports",,"Oxidized lipids and vascular inflammation",,,,,"2,311.54",,
23760952,"PMC3654556",,"Wiley-Blackwell",,"0742-3071",,"Diabetic Medicine",,"Biallelic PDX1 (insulin promoter factor 1) mutations causing neonatal diabetes without exocrine pancreatic insufficiency",,,,,"2,310.95",,
23487316,"PMC3272220",,"Wiley-Blackwell",,"1059-7794",,"Human Mutation",,"Pseudoachondroplasia and multiple epiphyseal dysplasia: A 7-year comprehensive analysis of the known disease genes identify novel and recurrent mutations and provides an accurate assessment of their relative contribution",,,,,"2,310.95",,
21828096,"PMC3589712",,"Cenveo","The Endocrine Society",,,"Journal of Clinical Endocrinology and Metabolism",,"Analysis of Body Composition in Individuals With High Bone Mass Reveals a Marked Increase in Fat Mass in Women But Not Men",,,,,"2,310.83",,
23633509,,,"Wiley-Blackwell","British Pharmacological Society","0306-5251",,"British Journal of Clinical Pharmacology",,"Prolonged ketamine infusion as a therapy for Complex Regional Pain Syndrome: Synergism with antagonism?",,,,,"2,307.69",,
23404106,"PMC3744763",,"Wiley-Blackwell",,"1600-0854",4.65,"Traffic","Hybrid","Postsynaptic kainate receptor recycling and surface expression is regulated by metabotropic autoreceptor signalling",,,,,"2,307.69",,
23132247,"PMC3714738",,"Elsevier","Elsevier",,,"Biochimica et Bioohysica Acta - Molecular Basis of Disease",,"The hereditary spastic paraplegia protein strumpellin: characterisation in neurons and of the effect of disease mutations on WASH complex assembly and function",,,,,"2,307.23",,
23576310,"PMC3625108",,"Elsevier","Elsevier","0161-5890",,"Molecular Immunology",,"A novel post-transcriptional role for ubiquitin in the differential regulation of MHC class I allotypes",,,,,"2,307.23",,
22945369,"PMC3470702",,"Wiley-Blackwell",,"
",,"American Journal of Medical Genetics",,"A Novel Nonsense CDK5RAP2 Mutation in a Somali Child with Primary Microcephaly",,,,,"2,307.01",,
22925518,,,"Elsevier (Cell Press)","Elsevier",,5.51,"Trends in Parasitology",,"The Cindirella Syndrome: Why do malaria-infected cells burst at midnight?",,,,,"2,306.78",,
23592229,,,"Wiley-Blackwell","British Society for Immunology","0019-2805",,"Immunology",,"Human dendritic cell subsets",,,,,"2,305.08",,
23453597,"PMC3586655",,"Wiley-Blackwell",,"0742-3071",,"Diabetic Medicine",,"Sequencing PDX1 (insulin promoter factor 1) in 1788 UK individuals found 5% had a low frequency coding variant, but these variants are not associated with Type 2 diabetes.",,,,,"2,304.31",,
23932869,"PMC3746156",,"Elsevier","Elsevier","0306-4522",,"Neuroscience",,"The relationship between tetanus intensity and the magnitude of hippocampal long-term potentiation in vivo.",,,,,"2,303.16",,
23906065,"PMC3484687",,"Wiley-Blackwell",,,,"Child Psychology Psychiatry",,"The Affective Reactivity Index: A concise irritability scale for clinical and research settings",,,,,"2,302.93",,
24044892,"PMC3504977",,"Wiley-Blackwell",,"0885-6230",,"International Journal of Geriatric Psychiatry",,"Strain and its correlates among carers of people with dementia in low and middle income countries. A 10/66 Dementia Research population-based survey",,,,,"2,302.93",,
21238926,"PMC3488597",,"Wiley-Blackwell",,"0953-8194",,"Journal of Neuroendocrinology",,"Changes in the brain accumulation of glucocorticoids in abcb1a-deficient CF-1 mice.",,,,,"2,302.93",,
,"PMC3617601",,"Elsevier","Elsevier","1041-6080",,"Learning and Individual Differences",,"Understanding the science-learning environment: a genetically sensitive approach",,,,,"2,302.93",,
23177648,,,"Elsevier","Elsevier","0161-5890",,"Molecular Immunology",,"A tale of two tumours: comparison of the immune escape strategies of contagious cancers",,,,,"2,302.13",,
,"PMC3472025",,"Wiley-Blackwell",,,,"Evaluation in Clinical Practice",,"Unreasonable reasons: normative judgements in the assessment of mental capacity",,,,,"2,300.38",,
22841499,"PMC3506972",,"Wiley-Blackwell",,"1050-9631",,"Hippocampus",,"Hippocampal lesions can enhance discrimination learning despite normal sensitivity to interference from incidental information",,,,,"2,300.12",,
22197222,"PMC3590452",,"Elsevier","Elsevier","0166-4328",,"Behavioural Brain Research",,"The telomeric part of the human chromosome 21 from Cstb to Prmt2 is not necessary for the locomotor and short-term memory deficits observed in the Tc1 mouse model of Down syndrome",,,,,"2,298.35",,
22698283,"PMC3590453",,"Elsevier","Elsevier","1053-8119",6.25,"Neuroimage","Hybrid","Structural correlates of active-staining following magnetic resonance microscopy in the mouse brain",,,,,"2,298.35",,
23519094,"PMC3494454",,"Sage",,"0956-7976",,"Psychological Science",,"Chaotic Homes and Children's Disruptive Behavior: A Longitudinal Cross-Lagged Twin Study",,,,,"2,297.82",,
,"PMC3516598","10.1016/j.ajhg.2012.10.024","Elsevier (Cell Press)","Elsevier","1537-6606",11.2,"American Journal of Human Genetics","Hybrid","Mutations in ANO3 cause dominant cranio-cervical dystonia: ion channel implicated in pathogenesis",34,,"CC-BY","Yes ","2,296.94","Yvonne Budden","Article lists OA funded by MRC"
23567505,"PMC3580885",,"Wiley-Blackwell",,"0022-5061",,"Journal of the History of the Behavioral Sciences",,"Normalizing the supernormal: The formation of the “Gesellschaft für Psychologische Forschung” (“Society for Psychological Research”), c. 1886-1890",,,,,"2,296.94",,
,"PMC3526774",,"Elsevier","Elsevier","8756-3282",,"Bone",,"The High Bone Mass phenotype is characterised by a combined cortical and trabecular bone phenotype: findings from a pQCT case-control study",,,,,"2,295.39",,
,"PMC3560059",,"Elsevier","Elsevier","1063-4584",,"Osteoarthritis and Cartilage",,"New tools for studying osteoarthritis genetics in zebrafish",,,,,"2,295.39",,
,"PMC3463788",,"Springer",,"0938-8990",,"Mammalian Genome",,"Association studies in outbred mice in a new era of full-genome sequencing",,,,,"2,295.13",,
23398374,,,"Elsevier","Elsevier",,,"Int Journal for Parasitology",,"Flow cytometry-assisted rapid isolation of recombinant Plasmodium berghei parasites exemplified by functional analysis of aquaglyceroporin.",,,,,"2,294.00",,
23320570,"PMC3739937",,"Wiley-Blackwell",,"0026-8933",,"Molecular Biology",,"The unstructured domain of colicin N kills Escherichia coli",,,,,"2,293.56",,
21569088,"PMC3580288",,"Elsevier","Elsevier",,,"Journal of Hospital Infections",,"Evaluation of surveillance for surgical site infections in Thika Hospital, Kenya",,,,,"2,293.37",,
23771172,"PMC3495297",,"Wiley-Blackwell",,"0077-8923",,"Annals of the New York Academy of Sciences",,"What brain signals are suitable for feedback control of deep brain stimulation in Parkinson's disease",,,,,"2,293.27",,
23689796,"PMC3532594",,"Elsevier","Elsevier","0197-4580",6.17,"Neurobiology of Aging",,"A touch screen-automated cognitive test battery reveals impaired attention, memory abnormalities, and increased response inhibition in the TgCRND8 mouse model of Alzheimer's disease",,,,,"2,292.64",,
23642644,"PMC3532835",,"Wiley-Blackwell","The Physiological Society","1469-7793",4.38,"Journal of Physiology","Hybrid","Redefining the component of cenral CO2 chemosensitivity",,,,,"2,292.34",,
23107315,"PMC3709121",,"Wiley-Blackwell",,"0008-8994",,"Centaurus",,"Collecting knowledge for the family: recipes, gender and practical knowledge in the early modern English household",,,,,"2,292.03",,
24046357,"PMC3491314",,"Elsevier (Cell Press)","Elsevier",,8.43,"Trends in Microbiology",,"Evolution of virulence in opportunistic pathogens: generalism, plasticity and control",,,,,"2,291.33",,
23104990,,,"Bentham",,"1568-0266",,"Current Topics in Medicinal Chemistry",,"The Therapeutic Potential of Allosteric Ligands for Free Fatty Acid Sensitive GPCRs",,,,,"2,291.22",,
23819570,"PMC3664183",,"Springer",,"0300-9564",,"Journal of Neural Transmission",,"Cellular Localization and Trafficking of Vascular Adhesion Protein-1 as Revealed by an N-terminal GFP Fusion Protein",,,,,"2,289.17",,
23046967,"PMC3699707",,"Springer",,"0012-186X",,"Diabetologia",,"Predicted impact of extending the screening interval for diabetic retinopathy: the Scottish Diabetic Retinopathy Screening programme",,,,,"2,289.06",,
23467806,"PMC3581773",,"Elsevier","Elsevier",,,"Molecluar & Cellular Endocrinology",,"Periconceptional changes in maternal exposure to sewage sludge chemicals disturbs fetal thyroid gland development in sheep",,,,,"2,288.97",,
20097205,"PMC3569874",,"Wiley-Blackwell",,"0741-0395",,"Genetic Epidemiology",,"Genome-wide association analyis of imputed rare variants: application to seven common complex diseases.",,,,,"2,286.74",,
,"PMC3805332","10.1021/cb400508k","American Chemical Society",,"1554-8929",5.44,"ACS Chemical Biology","Hybrid","Synthesis of alpha-glucan in mycobacteria involves a hetero-octameric complex of trehalose synthase TreS and maltokinase Pep2",0,,"Publisher copyright","Yes","2,286.73","Theo Andrew",
23318955,"PMC3540259",,"Elsevier","Elsevier","0163-4453",,"Journal of Infection",,"The prevalence of cryptococcal antigenemia in newly diagnosed HIV patients in a Southwest London cohort",,,,,"2,286.09",,
22591621,"PMC3669511",,"Springer",,"1018-8827",,"European Child and Adolescent Psychiatry",,"Are parental ADHD problems associated with a more severe clinical presentation and greater family adversity in children with ADHD ?",,,,,"2,285.92",,
24064150,"PMC3599488",,"Wiley-Blackwell",,"1462-5814",,"Cellular Microbiology",,"Hepatoma polarization limits CD81 and hepatitis C virus dynamics.",,,,,"2,284.62",,
20800751,"PMC3355306",,"Elsevier","Elsevier","1047-8477",,"Journal of Structural Biology",,"Cryo-electron tomography and 3-D analysis of the intact flagellum in trypanosoma brucei",,,,,"2,284.19",,
22155499,"PMC3343258",,"Elsevier","Elsevier","0165-0327",,"Journal of Affective Disorders",,"Predictors of maternal psychological distress in rural India: A cross-sectional community-based study",,,,,"2,283.58",,
23511972,"PMC3484397",,"Elsevier","Elsevier",,,"Microbes Infect",,"The role of cGMP signalling in regulating life cycle progression of plasmodium",,,,,"2,283.00",,
23524851,,,"Elsevier","Elsevier","0161-5890",,"Molecular Immunology",,"Antigen processing and presentation: evolution from a bird's eye view",,,,,"2,282.76",,
23942233,"PMC3847282",,"Springer",,"1389-5729",,"Biogerontology",,"Shared Ageing Research Models (ShARM): A new facility to support ageing",,,,,"2,282.59",,
23232763,"PMC3512055",,"Elsevier","Elsevier","0277-9536",2.73,"Social Science and Medicine","Hybrid","Household-based cash transer targeting strategies in Zimbabwe: are we reaching the most vulnerable children?",,,,,"2,281.51",,
23463102,"PMC3526772",,"Elsevier","Elsevier","1769-7212",,"European Journal of Medical Genetics",,"Array Comparative Genomic Hybridization: Results from an adult population with drug-resistant epilepsy and co-morbidities",,,,,"2,281.08",,
23881098,"PMC3550523",,"Elsevier","Elsevier","0197-0186",,"Neurochemistry International",,"Glucocerebrosidase inhibition causes mitochondrial dysfunction and free radical damage",,,,,"2,281.08",,
23572080,"PMC3480648",,"Elsevier","Elsevier","1053-8119",6.25,"Neuroimage","Hybrid","5-HTTLPR – environment interplay and its effects on neural reactivity in adolescents",,,,,"2,280.14",,
23085988,"PMC3526795",,"Elsevier","Elsevier","0091-6749",,"Journal of Allergy and Clinical Immunology",,"CRACM/ Orai ion channel expression and function in human lung mast cells",,,,,"2,277.80",,
24076655,"PMC3526791",,"Elsevier","Elsevier","0091-6749",,"Journal of Allergy and Clinical Immunology",,"Functional KCa3.1 K+ channels are required for human fibrocyte migration",,,,,"2,277.79",,
22990238,"PMC3588155",,"Wiley-Blackwell","The Pathological Society of Great Britain and Ireland","1096-9896",,"Journal of Pathology",,"Use of multivariate analysis to suggest a new molecular classification of colorectal cancer.",,,,,"2,276.53",,
23483710,"PMC3582024",,"Wiley-Blackwell",,"0364-5134",,"Annals of Neurology",,"Ischaemic stroke is associated with the ABO locus: the Euroclot study",,,,,"2,276.48",,
23165884,"PMC3748791",,"Wiley-Blackwell","International Parkinsons and Movement Disorder Society","1531-8257",4.56,"Movement Disorders","Hybrid","Primary progressive aphasia with parkinsonism",,,,,"2,275.58",,
21805639,"PMC3500872",,"Wiley-Blackwell",,"0378-1097",,"FEMS Microbiology Letters",,"Selective binding of virulence type III export chaperones by FliJ escort orthologues InvI and YscO",,,,,"2,275.02",,
,,,"Wiley-Blackwell",,"1356-1294",,"Journal of Evaluation in Clinical Practice",,"Evaluating care pathways for community psychiatry in England: a qualitative study",,,,,"2,275.02",,
23670199,"PMC3492912",,"Wiley-Blackwell","International Association for the Study of Obesity","1467-789X",6.87,"Obesity Reviews","Hybrid","Does maternal body mass index during pregnancy influence risk of schizophrenia in the adult offspring?",,,,,"2,275.02",,
23412472,"PMC3841574",,"Elsevier","Elsevier","0960-8966",,"Neuromuscular Disorders",,"Initial development and validation of mitochondrial disease of life scale",,,,,"2,274.90",,
21534661,"PMC3782642",,"Springer",,,,"Social Psychiatry and Psychiatric Epidemiology","Hybrid","Epidemiology of childhood conduct problems in Brazil: systematic review and meta-analysis",,,,,"2,274.49",,
,,,"Elsevier","Elsevier","0006-8993",,"Brain Research",,"Fibronectin supports neurite outgrowth and axonal regeneration of adult brain neurons in vitro",,,,,"2,272.21",,
,"PMC3600532","10.1111/zph.12000","Wiley-Blackwell",,"1863-2378",2.09,"Zoonoses and Public Health","Hybrid","Ecology of zoonotic infectious diseases in bats: current knowledge and future directions",,,,"Yes","2,272.15","Michelle Brook","Copyright © 2012 Blackwell Verlag GmbH
Re-use of this article is permitted in accordance with the Creative Commons Deed, Attribution 2.5, which does not permit commercial exploitation.'"
23903840,"PMC3605576",,"Elsevier","Elsevier","1878-6146",,"Fungal Biology",,"Expression and secretion of Aspergillus fumigatus proteases is regulated in response to different protein substrates",,,,,"2,272.01",,
23903843,"PMC3611596",,"Elsevier","Elsevier","0945-053X",,"Matrix Biology",,"An experimental model for studying the biomechanics of embryonic tendon: Evidence that the development of mechanical properties depends on the actinomyosin machinery",,,,,"2,272.01",,
23541370,"PMC3611595",,"Elsevier","Elsevier","0945-053X",,"Matrix Biology",,"Synthesis of embryonic tendon-like tissue by human marrow stromal/mesenchymal stem cells requires a three-dimensional environment and transforming growth factor b3",,,,,"2,272.01",,
22869346,,,"Elsevier","Elsevier","0945-053X",,"Matrix Biology",,"The cell biology of suturing tendons",,,,,"2,272.01",,
23117930,"PMC3599488",,"Wiley-Blackwell",,"1462-5814",,"Cellular Microbiology",,"In silico directed mutagenesis identifies the CD81/claudin-1 hepatitis C virus",,,,,"2,270.50",,
23254194,"PMC3532615","10.1111/jnc.12012","Wiley-Blackwell","International Society for Neurochemistry","1471-4159",3.97,"Journal of Neurochemistry",,"Mass spectrometry analysis of human P2X1 receptors: insight into phosphorylation, modelling and conformational changes",,,,"Yes","2,270.34","Michelle Brook","Copyright © 2012 International Society for Neurochemistry, Re-use of this article is permitted in accordance with the Creative Commons Deed, Attribution 2.5, which does not permit commercial exploitation."
23070543,"PMC3798121","10.1111/aos.12077","Wiley-Blackwell","Acta Ophthalmologica Scandinavica Foundation","1755-3768",2.35,"Acta Ophthalmologica","Hybrid","Visual and psychological morbidity among patients with autosomal dominant optic atrophy",2,,"CC-BY-NC","Yes ","2,270.16","Theo Andrew",
23545320,,,"Taylor and Francis",,"0013-838X",,"English Studies","Hybrid","We Cannot Be Greek Now: Age Difference, Corruption of Youth and the Making of Sexual Inversion",,,,,"2,475.60",,
24273371,,,"Future Science",,"1756-8919",,"Future Medicinal Chemistry",,"Targeting the Mitochondrial Electron Transport Chain of Plasmodium falciparum: New Strategies Towards the Development of Improved Antimalarials for the Elimination Era",,,,,"2,270.00",,
23041239,"PMC3662031",,"Elsevier","Elsevier",,,"Behavior Research and rapy",,"Enhanced cognitive behaviour therapy for adolescents with anorexia nervosa",,,,,"2,269.53",,
22370165,"PMC3662032",,"Elsevier","Elsevier",,,"Behavior Research and rapy",,"Enhanced cognitive behaviour therapy for adolescents with anorexia nervosa: an alternative to family therapy?",,,,,"2,269.53",,
23324626,"PMC3638368",,"Elsevier","Elsevier",,,"    Elsevier    ?? Wiley",,"Transformation of a plasmid-free, genital tract isolate of Chlamydia trachomatis with a plasmid vector carrying a deletion in CDS6 revealed that this gene regulates inclusion phenotype",,,,,"2,269.15",,
,"PMC3657127",,"Wiley-Blackwell",,"0014-2980",,"European Journal of Immunology","Hybrid","Avidity of influenza-specific memory CD8+ T cell populations decays over time",,,,,"2,269.00",,
22968434,,,"Wiley-Blackwell","British Pharmacological Society",,,"British Jounal of Pharmacology",,"A single channel mutation alters agonist efficacy at 5-HT3A and 5-HT3AB receptors",,,,,"2,268.41",,
23625014,"PMC3715701",,"Elsevier","Elsevier","0898-6568",,"Cellular Signalling",,"Functional roles for myosin 1c in cellular signalling pathways",,,,,"2,267.26",,
23614351,"PMC3824307",,"Springer",,,,"Psychopharmacology",,"Noradrenergic versus dopaminergic modulation of impulsivity, attention and monitoring behaviour in rats performing the stop-signal task: possible relevance to ADHD",,,,,"2,265.88",,
,"PMC3472557",,"Elsevier","Elsevier","0022-2836",3.91,"Journal of Molecular Biology",,"Structural Basis for ASPP2 Recognition by the Tumor Suppressor p73.",,,,,"2,264.20",,
,"PMC3738845",,"Springer",,"0938-7994",,"European Radiology",,"The effect of a tuberculosis chest X-ray image reference set on non-expert reader performance",,,,,"2,263.18",,
23352740,,,"Springer-Verlag",,"0145-479X",,"Journal of Bioenergetics and Biomembranes",,"AMPK modulates glucose-sensing in insulin-secreting cells by altered phosphotransfer to KATP channels",,,,,"2,262.68",,
23518266,"PMC3695676",,"Springer",,"0946-2716",,"Journal of Molecular Medicine",,"Functional expression of Rab escort protein 1 following AAV2-mediated gene delivery in the retina of choroideremia mice and human cells ex vivo",,,,,"2,262.59",,
21797722,"PMC3534410",,"Taylor and Francis",,,,"Ethn Health",,"All her children are born that way': gendered experiences of stigma in families affected by sickle cell disorder in rural Kenya.",,,,,"1,987.56",,
23264644,"PMC3477630",,"Elsevier","Elsevier","0009-9260",,"Clinical Radiology",,"Chest radiographic patterns in 75 adolescents with vertically acquired HIV infection.",,,,,"2,262.30",,
23291342,"PMC3437476",,"Wiley-Blackwell",,,,"Child: Care, Health Development",,"Parental depression and child outcomes - is marital conflict the missing link",,,,,"2,260.32",,
,"PMC3561570","10.1074/jbc.M112.430223","American Society for Biochemistry and Molecular Biology",,"1083-351X",4.65,"Journal of Biological Chemistry","Hybrid","Molecular architecture and functional analysis of NetB, a pore-forming toxin from Clostridium perfringens",10,,"CC-BY-NC","Yes ","2,259.64","Theo",
23385540,"PMC3627038",,"Springer",,"0967-3849",,"Chromosome Research",,"Esperanto for histones: CENP-A, not CenH3, is the centromeric histone H3 variant",,,,,"2,258.39",,
,,,"Wiley-Blackwell",,"1076-0512",,"Dermatologic Surgery",,"Infiltrative recurrent eccrine spiradenoma of the anterior neck treated by Mohs micrographic surgery",,,,,"2,257.56",,
,"PMC3298641",,"Wiley-Blackwell",,"0014-2980",,"European Journal of Immunology","Hybrid","CD6 attenuates early and late signaling events, setting thresholds for T-cell activation",,,,,"2,256.65",,
23769710,"PMC3566541",,"Elsevier","Elsevier","0303-7207",,"Molecular and Cellular Endocrinology",,"Ghrelin and cannabinoids require the Ghrelin receptor to affect cellular energy metabolism",,,,,"2,253.66",,
21717145,"PMC3525856",,"Elsevier","Elsevier","0732-8893",,"Diagnostic Microbiology and Infectious Disease",,"Comparison of a Frozen Human Foreskin Fibroblast Cell Assay to an Enzyme Immunoassay and Toxigenic Culture for the Detection of Toxigenic Clostridium difficile",,,,,"2,252.53",,
23345197,"PMC3377085",,"Wiley-Blackwell",,"1757-4684",,"EMBO Molecular Medicine",,"Links between genetics and pathophysiology in the autism spectrum disorders",,,,,"2,252.44",,
23140835,"PMC3638232",,"Elsevier","Elsevier","1353-8020",,"Parkinsonism and Related Disorders",,"Coactivation sign in fixed dystonia",,,,,"2,251.56",,
23200636,"PMC3878782",,"Taylor and Francis",,"1382-5577",,"European Journal of English Studies",,"Obscurity and gender resistance in Patricia Duncker's James Miranda Barry",,,,,"2,260.80",,
23182425,"PMC3661931","10.1007/s00401-013-1112-y","Springer",,"0001-6322",9.73,"Acta Neuropathologica","Hybrid","Insufficient OPC migration into demyelinated lesions is a cause of poor remyelination in MS and mouse models",4,,"CC-BY","Yes ","2,250.97","Theo Andrew",
23645505,,,"Wiley-Blackwell","German Chemical Society","0044-8249",,"Angewandte Chemie",,"Cysteine Promoted C-terminal Hydrazinolysis of Native Peptides and Proteins",,,,,"2,250.00",,
,,,"Oxford University Press",,"1047-3211",,"Cerebral Cortex",,"The early fetal development of human neocortical gabaergic interneurons",,,,,"2,250.00",,
22549408,,,"Oxford University Press",,"1047-3211",,"Cerebral Cortex",,"Direct evidence for attention-dependent influences of the frontal eye-fields on feature-responsive visual cortex",,,,,"2,250.00",,
,"PMC3654748",,"Oxford University Press",,"0022-1899",,"Journal of Infectious Diseases",,"The Phenotype of the Cryptococcus-specific CD4 Memory T-cell Response is Associated with Disease Severity and Outcome in HIV-associated Cryptococcal Meningitis",,,,,"2,250.00",,
22653709,"PMC3497412","10.1128/IAI.00641-12","American Society for Microbiology",,"0019-9567",4.07,"Infection and Immunity","Hybrid","Progressive cross-reactivity in IgE responses: an explanation for the slow development of human immunity to schistosomiasis",4,,"Publisher copyright","Yes ","2,249.43","Fiona Wright",
23400868,"PMC3619233",,"Wiley-Blackwell","The Pathological Society of Great Britain and Ireland","1096-9896",,"Journal of Pathology",,"Whole-genome methylation analysis of benign and malignant colorectal tumours.",,,,,"2,248.94",,
23319341,"PMC3569712",,"Elsevier (Cell Press)","Elsevier",,9.57,"Trends in Molecular Medicine",,"Exploring the effects of polymorphisms on cis-regulatory signal transduction response",,,,,"2,248.33",,
23639206,"PMC3755220",,"Springer",,,,"Journal of Abnormal Child Psychology and Psychiatry",,"The Value of Measuring Impact Alongside Symptoms in Children and Adolescents: A Longitudinal Assessment in a Community Sample.",,,,,"2,247.34",,
22959727,"PMC3564407",,"Wiley-Blackwell","Federation of European Biochemical Societies","1742-464X",,"FEBS Journal",,"Structural basis of peptide recognition by the angiotensin-1 converting enzyme homologue AnCE from Drosophila melanogaster.",,,,,"2,247.05",,
18755526,"PMC3507354",,"The Endocrine Society",,"0013-7227",,"Endocrinology",,"Neurochemical characterization of body weight-regulating leptin receptor neurons in the nucleus of the solitary tract",,,,,"2,247.02",,
23396186,"PMC3480643",,"Elsevier","Elsevier","0006-291X",,"Biochemical and Biophysical Research Communications",,"Biochemical characterization of recombinant Candida albicans mannosyltransferases Mnt1, Mnt2 and Mnt5 reveals functions in O- and N-mannan biosynthesis",,,,,"2,246.40",,
23319295,"PMC3544356",,"The Endocrine Society",,"0013-7227",,"Endocrinology",,"Short-term pharmacological suppression of the hyperprolactinemia of infertile hCG overproducing female mice persistently restores their fertility",,,,,"2,246.22",,
23212959,"PMC3572582",,"Wiley-Blackwell","Federation of European Biochemical Societies","1742-464X",,"FEBS Journal",,"Crystal structures of murine angiogenin-2 and -3-probing 'structure--function' relationships amongst angiogenin homologues.",,,,,"2,246.21",,
23085109,"PMC3640159",,"Elsevier","Elsevier","0014-5793",,"FEBS Letters",,"Sialic acids acquired by Pseudomonas aeruginosa are involved in reduced complement deposition and siglec mediated host-cell recognition.",,,"Publisher copyright","No","2,244.57","SM","full text available via Science Direct, though not on the journal's website: 'Purchase this article for 31.50 USD'. "
22342432,"PMC3617599",,"Elsevier","Elsevier","0305-4403",,"Journal of Archaeological Science",,"Organic geochemical analysis of archaeological medicine pots from Northern Ghana. The multi-functionality of pottery",,,,,"2,243.55",,
20529121,"PMC3824936",,"Springer",,,,"Reproductive Medicine and Biology",,"Nuclear reprogramming of sperm and somatic nuclei in eggs and oocytes",,,,,"2,242.99",,
,"PMC3650242",,"Springer",,"0929-5313",,"Journal of Computational Neuroscience",,"The spatial pattern of light determines the kinetics and modulates backpropagation of optogenetic action potentials",,,,,"2,241.43",,
,"PMC3824577",,"Springer",,"0093-7711",,"Immunogenetics",,"Killer cell immunoglobin-like receptor (KIR) genes and their HLA-C ligands in a Ugandan population",,,,,"2,240.86",,
23172732,"PMC3676640",,"Springer",,"0162-3257",,"Journal of Autism and Developmental Disorders",,"Communication and Social Deficits in Relatives of Individuals with SLI and Relatives of Individuals with ASD",,,,,"2,240.48",,
23265954,"PMC3551259",,"Wiley-Blackwell",,"1600-0854",4.65,"Traffic","Hybrid","Efficient internalization of MHC I requires lysine-11 and lysine-63 mixed linkage polyubiquitin chains",,,,,"2,239.22",,
23652843,"PMC3764326",,"Springer",,"1387-2176",,"Biomedical Microdevices",,"Continuous in vivo blood pressure measurements using a fully implantable wireless SAW sensor",,,,,"2,236.16",,
23722617,"PMC3575693",,"Wiley-Blackwell",,"1365-2958",4.96,"Molecular Microbiology","Hybrid","Shigella IpaD has a Dual Role: Signal Transduction from the T3SS Needle Tip and Intracellular Secretion Regulation",,,,,"2,236.02",,
22995005,"PMC3532623",,"Wiley-Blackwell",,"0003-4800",,"Annals of Human Genetics",,"Association of FTO gene variants with body composition in UK twins",,,,,"2,234.61",,
,"PMC3473356",,"Elsevier","Elsevier","0166-6851",,"Molecular & Biochemical Parasitology",,"Conformational co-dependence between plasmodium berghai LCCL proteins promotes complex formation and stability *** PMR couldn't find this",,,,,"2,233.26",,
23194819,"PMC3562487",,"Wiley-Blackwell","Association for Child and Adolescent Mental Health","0021-9630",,"Journal of Child Psychology and Psychiatry",,"Brain structure abnormalities in adolescent girls with Conduct Disorder",,,,,"2,232.00",,
23919293,,,"Humana Press (Springer Imprint)","Springer","1064-3745",,"Methods in Molecular Biology",,"The Amoebozoa.",,,,,"2,230.50",,
,"PMC3644191",,"Springer",,"0949-944X",,"Development Genes and Evolution",,"Snail-dependant repression of the RhoGEF pebble is required for gastrulation consistency in Drosophila melanogaster",,,,,"2,230.10",,
23106711,"PMC3526775",,"Elsevier","Elsevier",,,"European Journal of cell Biology",,"Vinculin, an adapter protein in control of cell adhesion signalling",,,,,"2,228.00",,
23789029,,,"Elsevier","Elsevier","0014-5793",,"FEBS Letters",,"Ca2+-calmodulin inhibits tail-anchored protein insertion into the mammalian endoplasmic reticulum membrane",,,,,"2,228.00",,
23354664,"PMC3507624",,"Elsevier","Elsevier","0016-5085",,"Gastroenterology",,"Intestinal Dendritic Cells Specialize to Activate Transforming Growth Factor-β and Induce Foxp3+ Regulatory T Cells via Integrin αvβ8",,,,,"2,228.00",,
23371752,,,"Springer",,"1420-682X",,"Cellular and Molecular Life Sciences",,"Developmental mechanisms directing early anterior forebrain specification in vertebrates",,,,,"2,226.74",,
23034517,"PMC3662417",,"Springer",,"0092-0606",,"Journal of Biological Physics",,"Packaging signals in single-stranded RNA viruses: Nature's alternative to a purely electrostatic assembly mechanism",,,,,"2,226.16",,
23232206,"PMC3462937",,"Endocrine Society",,,,"Journal of Clinical Endocrinology and Metabolism",,"A Cross-Sectional Study of the Relationship between Cortical Bone and High-Impact Activity in Young Adult Males and Females",,,,,"2,224.52",,
23220237,"PMC3549495",,"Elsevier","Elsevier","1053-8119",6.25,"Neuroimage","Hybrid","Identification of gene pathways implicated in Alzheimer's disease using longitudinal imaging phenotypes with sparse regression",,,,,"2,224.47",,
23022459,"PMC3796855",,"Wiley-Blackwell","Association for Child and Adolescent Mental Health","0021-9630",,"Journal of Child Psychology and Psychiatry",,"Parental depressive and anxiety symptoms during pregnancy and attention problems in children. A cross-cohort consistency study",,,,,"2,222.22",,
23830949,"PMC3485564",,"Elsevier","Elsevier",,,"Schizophrenia Research",,"Childhood infection and adult schizophrenia: A meta-analysis of population-based studies",,,,,"2,222.09",,
23538029,"PMC3485562",,"Elsevier","Elsevier",,,"Schizophrenia Research",,"A quantitative meta-analysis of population-based studies of premorbid intelligence and schizophrenia",,,,,"2,222.09",,
